Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00000418,London plane,15,4,21,Middle aged,Fair
00000419,London plane,18,5,22,Middle aged,Good
00000420,London plane,19,10,40,Middle aged,Fair
00000421,Ash - One-leaved,9,5,41,Mature,Fair
00000424,Ash - One-leaved,9,5,37,Mature,Fair
00000425,Ash - One-leaved,9,5,38,Mature,Fair
00000426,Ash - One-leaved,8,5,38,Mature,Fair
00000427,Ash - One-leaved,8,6,39,Mature,Fair
00000428,Ash - One-leaved,8,7,48,Mature,Fair
00000431,Ash - One-leaved,9,5,51,Mature,Fair
00000432,Ash - One-leaved,8,8,51,Mature,Fair
00000433,Ash - One-leaved,8,6,42,Mature,Fair
00000435,Ash - One-leaved,8,6,40,Mature,Fair
00000436,Ash - One-leaved,10,7,47,Mature,Fair
00000438,Ash - One-leaved,8,5,41,Mature,Fair
00000439,Ash - One-leaved,8,7,46,Mature,Fair
00000445,Hawthorn - Cockspur thorn,7,6,27,Mature,Good
00000447,Honey Locust,16,8,47,Mature,Good
00000449,Wier maple,15,6,45,Mature,Good
00000451,Wier maple,14,5,55,Mature,Fair
00000452,Wier maple,14,5,59,Mature,Fair
00000453,Wier maple,15,9,77,Mature,Good
00000454,Wier maple,16,12,73,Mature,Good
00000455,Whitebeam - Swedish,8,5,34,Mature,Fair
00000456,Whitebeam - Swedish,8,5,34,Mature,Good
00000457,London plane,15,10,91,Mature,Good
00000463,London plane,17,12,88,Mature,Good
00000464,Lime - Small-leaved,12,6,50,Mature,Good
00000465,Lime - Small-leaved,13,8,41,Mature,Fair
00000466,Lime - Small-leaved,11,6,50,Mature,Fair
00000467,Lime - Common,15,8,50,Mature,Fair
00000468,Lime - Small-leaved,14,7,57,Mature,Fair
00000469,Lime - Small-leaved,14,7,45,Mature,Fair
00000470,Lime - Small-leaved,14,6,58,Mature,Fair
00000471,Lime - Common,11,5,35,Mature,Fair
00000472,London plane,13,9,91,Mature,Good
00000473,Lime - Common,11,6,48,Mature,Fair
00000474,London plane,21,16,92,Mature,Good
00000476,Lime - Small-leaved,14,8,57,Mature,Good
00000477,Lime - Caucasian,12,6,37,Mature,Good
00000478,Lime - Common,14,9,48,Mature,Good
00000479,Lime - Small-leaved,18,9,51,Mature,Fair
00000480,Lime - Caucasian,14,6,31,Mature,Fair
00000481,Lime - Small-leaved,16,8,57,Mature,Good
00000482,Lime - Small-leaved,18,9,52,Mature,Fair
00000483,London plane,20,11,97,Mature,Good
00000484,Lime - Small-leaved,14,10,48,Mature,Fair
00000485,Lime - Small-leaved,13,7,54,Mature,Fair
00000486,Lime - Small-leaved,11,8,55,Mature,Fair
00000487,Lime - Small-leaved,11,8,50,Mature,Fair
00000488,Lime - Small-leaved,11,8,52,Mature,Fair
00000489,Lime - Common,12,7,37,Mature,Good
00000490,Lime - Caucasian,10,7,31,Middle aged,Good
00000491,Lime - Caucasian,10,7,25,Middle aged,Good
00000492,Lime - Caucasian,5,5,15,Middle aged,Fair
00000493,False Acacia,14,7,31,Middle aged,Fair
00000494,Lime - Caucasian,10,6,31,Middle aged,Good
00000495,"Cherry - Wild, Gean",8,6,19,Middle aged,Good
00000498,False Acacia,19,8,37,Mature,Good
00000501,Lime - Caucasian,12,7,31,Middle aged,Good
00000503,"Cherry - Wild, Gean",11,7,27,Middle aged,Good
00000504,"Cherry - Wild, Gean",9,6,24,Middle aged,Good
00000505,"Cherry - Wild, Gean",11,7,34,Middle aged,Good
00000506,Lime - Caucasian,10,5,18,Middle aged,Good
00000507,Lime - Caucasian,12,5,23,Middle aged,Good
00000508,Lime - Caucasian,12,5,23,Middle aged,Good
00000509,"Cherry - Wild, Gean",13,8,31,Middle aged,Good
00000510,"Cherry - Wild, Gean",7,4,17,Middle aged,Fair
00000511,"Cherry - Wild, Gean",10,7,26,Middle aged,Fair
00000512,Lime - Caucasian,14,8,29,Middle aged,Good
00000513,Lime - Caucasian,14,6,31,Middle aged,Good
00000514,Lime - Caucasian,14,5,28,Middle aged,Good
00000516,"Birch - Downy, Hairy",15,9,27,Mature,Good
00000517,"Birch - Downy, Hairy",13,7,22,Middle aged,Good
00000518,"Birch - Downy, Hairy",15,7,27,Mature,Good
00000519,Birch - Silver,11,7,20,Middle aged,Fair
00000520,Elder,8,8,26,Mature,Fair
00000522,Ash,17.5,8,33,Mature,Fair
00000523,Ash,16,10,38,Middle aged,Good
00000524,Birch - Silver,21,8,37,Mature,Good
00000525,Birch - Silver,18,8,34,Mature,Good
00000527,Lime - Common,17,9,65,Mature,Good
00000528,Sycamore,9,5,22,Middle aged,Good
00000529,Tree of Heaven,17,12,54,Mature,Good
00000530,Lime - Common,16,14,41,Mature,Good
00000531,Lime - Common,17,13,42,Mature,Good
00000532,Tree of Heaven,21,16,74,Mature,Good
00000533,Lime - Common,21,12,52,Mature,Good
00000534,Lime - Common,18,10,50,Mature,Good
00000536,"Birch - Downy, Hairy",13,6,17,Middle aged,Good
00000537,"Birch - Downy, Hairy",12,9,22,Middle aged,Good
00000539,Birch - Silver,14,8,33,Middle aged,Good
00000540,Sycamore,19,9,29,Mature,Good
00000541,Horse Chestnut,17,16,91,Mature,Good
00000544,Ash,20,15,84,Mature,Fair
00000545,Lime - Common,22,9,77,Mature,Good
00000546,Lime - Common,20,14,44,Mature,Good
00000547,Lime - Common,19,9,41,Mature,Good
00000548,Lime - Common,19,11,38,Mature,Good
00000549,Lime - Common,19,10,60,Mature,Good
00000550,Sycamore,20,13,57,Mature,Good
00000551,Sycamore,20,13,41,Mature,Good
00000552,Lime - Common,22,15,84,Mature,Good
00000553,Lime - Common,19,15,69,Mature,Good
00000554,Sycamore,18,16,88,Mature,Good
00000555,Sycamore,16,13,56,Mature,Good
00000557,Sycamore,22,15,58,Mature,Good
00000558,"Birch - Downy, Hairy",8,7,21,Middle aged,Good
00000559,Birch - Silver,9,8,26,Mature,Good
00000560,Birch - Silver,17,10,32,Middle aged,Good
00000561,Birch - Silver,9,8,25,Mature,Good
00000562,"Birch - Downy, Hairy",14,12,35,Mature,Good
00000563,"Birch - Downy, Hairy",14,7,36,Middle aged,Good
00000565,Birch - Silver,14,12,32,Mature,Good
00000566,"Birch - Downy, Hairy",11,6,22,Middle aged,Fair
00000567,"Birch - Downy, Hairy",12,9,32,Mature,Good
00000568,"Birch - Downy, Hairy",16,8,33,Mature,Good
00000569,Birch - Silver,17,9,40,Middle aged,Good
00000570,Birch - Silver,14,8,33,Middle aged,Good
00000571,Birch - Silver,9,5,17,Middle aged,Good
00000572,"Birch - Downy, Hairy",19,11,40,Mature,Good
00000573,Birch - Silver,15,9,34,Mature,Good
00000574,"Birch - Downy, Hairy",15,8,39,Mature,Fair
00000579,Cherry - Bird,6,5,33,Mature,Fair
00000580,Cherry - Bird,6,5,35,Mature,Good
00000581,Cherry - Rosebud,4,5,14,Middle aged,Fair
00000582,Cherry - Rosebud,6,5,15,Middle aged,Fair
00000583,Plane - Oriental,17,15,99,Mature,Good
00000584,London plane,16,15,76,Mature,Fair
00000585,London plane,17,13,78,Mature,Fair
00000586,London plane,17,16,92,Mature,Fair
00000588,London plane,16,15,100,Mature,Fair
00000589,London plane,18,15,80,Mature,Fair
00000590,London plane,17,13,83,Mature,Fair
00000591,London plane,16,13,77,Mature,Fair
00000592,London plane,15,15,75,Mature,Fair
00000594,London plane,15,14,91,Mature,Fair
00000595,London plane,17,9,51,Middle aged,Fair
